Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Id,Customer Segment,Customer State,Department Id,Department Name,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Card Id,Product Category Id,Product Description,Product Image,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode
PAYMENT,6,2,-170.6100006,232.7599945,Late delivery,1,17,Cleats,Lancaster,EE. UU.,9990,Consumer,CA,4,Apparel,LATAM,Jurema,Brasil,9990,1/16/2015 5:45,1045,365,7.199999809,0.029999999,2606,59.99000168,-0.730000019,4,239.9600067,232.7599945,-170.6100006,South America,Pernambuco,PENDING_PAYMENT,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,1/22/2015 5:45,Second Class
TRANSFER,1,0,115.9899979,399.980011,Late delivery,1,45,Fishing,Caguas,Puerto Rico,8555,Consumer,PR,7,Fan Shop,Europe,Galati,Rumania,8555,1/17/2017 17:20,51223,1004,0.0,0.0,127996,399.980011,0.289999992,1,399.980011,399.980011,115.9899979,Eastern Europe,Galati,PENDING,1004,45,,http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,1/18/2017 5:20,Same Day
TRANSFER,4,2,63.95000076,130.5,Late delivery,1,24,Women's Apparel,Hialeah,EE. UU.,161,Corporate,FL,5,Golf,Pacific Asia,Jizzakh,Uzbekistán,161,1/17/2017 20:51,51233,502,19.5,0.129999995,128027,50.0,0.49000001,3,150.0,130.5,63.95000076,Central Asia,Jizzakh,PROCESSING,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,1/21/2017 20:51,Second Class
TRANSFER,2,2,75.33999634,163.7700043,Shipping on time,0,17,Cleats,Richmond,EE. UU.,396,Consumer,TX,4,Apparel,Pacific Asia,Kars,Turquía,396,1/17/2017 6:08,51191,365,16.20000076,0.090000004,127932,59.99000168,0.460000008,3,179.9700012,163.7700043,75.33999634,West Asia,Kars,PROCESSING,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,1/19/2017 6:08,Second Class
PAYMENT,2,1,50.66999817,175.9299927,Late delivery,1,46,Indoor/Outdoor Games,Fremont,EE. UU.,553,Consumer,CA,7,Fan Shop,LATAM,Vacaria,Brasil,553,1/19/2015 23:05,1300,1014,23.98999977,0.119999997,3224,49.97999954,0.289999992,4,199.9199982,175.9299927,50.66999817,South America,Rio Grande do Sul,PENDING_PAYMENT,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,O'Brien Men's Neoprene Life Vest,49.97999954,0,1/21/2015 23:05,First Class
TRANSFER,5,2,-183.3500061,118.2900009,Late delivery,1,18,Men's Footwear,Aurora,EE. UU.,897,Consumer,IL,4,Apparel,Pacific Asia,Jixi,China,897,1/19/2016 2:05,26244,403,11.69999981,0.090000004,65694,129.9900055,-1.549999952,1,129.9900055,118.2900009,-183.3500061,Eastern Asia,Heilongjiang,PROCESSING,403,18,,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,1/24/2016 2:05,Second Class
DEBIT,5,4,30.79000092,98.37999725,Late delivery,1,17,Cleats,Caguas,Puerto Rico,4863,Corporate,PR,4,Apparel,Pacific Asia,Xi'an,China,4863,1/19/2016 9:05,26264,365,21.60000038,0.180000007,65751,59.99000168,0.310000002,2,119.9800034,98.37999725,30.79000092,Eastern Asia,Shaanxi,COMPLETE,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,1/24/2016 9:05,Standard Class
DEBIT,6,4,-166.2799988,100.7699966,Late delivery,1,29,Shop By Sport,Caguas,Puerto Rico,9223,Consumer,PR,5,Golf,LATAM,San Pedro Sula,Honduras,9223,1/20/2015 23:37,1370,627,19.20000076,0.159999996,3388,39.99000168,-1.649999976,3,119.9700012,100.7699966,-166.2799988,Central America,Cortés,COMPLETE,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,1/26/2015 23:37,Standard Class
PAYMENT,4,4,-43.18999863,107.9700012,Shipping on time,0,29,Shop By Sport,Atlanta,EE. UU.,4421,Corporate,GA,5,Golf,LATAM,Choloma,Honduras,4421,1/20/2017 20:40,51438,627,12.0,0.100000001,128563,39.99000168,-0.400000006,3,119.9700012,107.9700012,-43.18999863,Central America,Cortés,PENDING_PAYMENT,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,1/24/2017 20:40,Standard Class
PAYMENT,4,4,-45.24000168,113.0899963,Shipping on time,0,18,Men's Footwear,Atlanta,EE. UU.,4421,Corporate,GA,4,Apparel,LATAM,Choloma,Honduras,4421,1/20/2017 20:40,51438,403,16.89999962,0.129999995,128564,129.9900055,-0.400000006,1,129.9900055,113.0899963,-45.24000168,Central America,Cortés,PENDING_PAYMENT,403,18,,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,1/24/2017 20:40,Standard Class
DEBIT,6,2,26.10000038,208.7700043,Late delivery,1,17,Cleats,Plainfield,EE. UU.,478,Corporate,IL,4,Apparel,LATAM,Orizaba,México,478,1/21/2015 10:07,1400,365,31.19000053,0.129999995,3466,59.99000168,0.129999995,4,239.9600067,208.7700043,26.10000038,Central America,Veracruz,COMPLETE,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,1/27/2015 10:07,Second Class
PAYMENT,4,2,60.22999954,165.9299927,Late delivery,1,46,Indoor/Outdoor Games,Chino,EE. UU.,11718,Consumer,CA,7,Fan Shop,LATAM,Guadalajara,México,11718,1/21/2017 15:56,51493,1014,33.99000168,0.170000002,128687,49.97999954,0.360000014,4,199.9199982,165.9299927,60.22999954,Central America,Jalisco,PENDING_PAYMENT,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,O'Brien Men's Neoprene Life Vest,49.97999954,0,1/25/2017 15:56,Second Class
CASH,4,4,-75.04000092,179.9600067,Shipping on time,0,29,Shop By Sport,Chicago,EE. UU.,2974,Corporate,IL,5,Golf,LATAM,Santo Domingo,República Dominicana,2974,1/21/2017 21:11,51508,627,20.0,0.100000001,128728,39.99000168,-0.419999987,5,199.9499969,179.9600067,-75.04000092,Caribbean,Santo Domingo,CLOSED,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,1/25/2017 21:11,Standard Class
DEBIT,2,1,12.69999981,34.97999954,Late delivery,1,75,Video Games,Costa Mesa,EE. UU.,20089,Home Office,CA,9,Discs Shop,Pacific Asia,Dewas,India,20089,1/22/2018 5:37,76536,1362,4.769999981,0.119999997,179851,39.75,0.360000014,1,39.75,34.97999954,12.69999981,South Asia,Madhya Pradesh,COMPLETE,1362,75,,http://images.acmesports.sports/Fighting+video+games,Fighting video games,39.75,0,1/24/2018 5:37,First Class
DEBIT,3,2,-55.15000153,144.0,Late delivery,1,24,Women's Apparel,Pasadena,EE. UU.,12159,Consumer,MD,5,Golf,LATAM,Maturín,Venezuela,12159,1/24/2017 1:23,51657,502,6.0,0.039999999,129072,50.0,-0.379999995,3,150.0,144.0,-55.15000153,South America,Monagas,COMPLETE,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,1/27/2017 1:23,Second Class
DEBIT,2,4,85.25,293.980011,Advance shipping,0,43,Camping & Hiking,Caguas,Puerto Rico,1606,Corporate,PR,7,Fan Shop,LATAM,Fort-de-France,Martinica,1606,1/24/2017 20:18,51711,957,6.0,0.02,129205,299.980011,0.289999992,1,299.980011,293.980011,85.25,Caribbean,Martinica,COMPLETE,957,43,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,1/26/2017 20:18,Standard Class
DEBIT,2,4,8.960000038,31.98999977,Advance shipping,0,29,Shop By Sport,Pompano Beach,EE. UU.,8622,Corporate,FL,5,Golf,LATAM,Consolación del Sur,Cuba,8622,1/26/2015 9:35,1741,627,8.0,0.200000003,4343,39.99000168,0.280000001,1,39.99000168,31.98999977,8.960000038,Caribbean,Pinar del Río,COMPLETE,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,1/28/2015 9:35,Standard Class
CASH,2,4,34.40000153,122.8399963,Advance shipping,0,18,Men's Footwear,Sacramento,EE. UU.,9480,Consumer,CA,4,Apparel,Pacific Asia,Ajmer,India,9480,1/26/2016 1:12,26721,403,7.150000095,0.059999999,66923,129.9900055,0.280000001,1,129.9900055,122.8399963,34.40000153,South Asia,Rajastán,CLOSED,403,18,,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,1/28/2016 1:12,Standard Class
TRANSFER,3,4,12.59000015,167.9299927,Advance shipping,0,46,Indoor/Outdoor Games,East Brunswick,EE. UU.,6951,Corporate,NJ,7,Fan Shop,Pacific Asia,Ajmer,India,6951,1/26/2016 1:33,26722,1014,31.98999977,0.159999996,66924,49.97999954,0.079999998,4,199.9199982,167.9299927,12.59000015,South Asia,Rajastán,PENDING,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,O'Brien Men's Neoprene Life Vest,49.97999954,0,1/29/2016 1:33,Standard Class
CASH,2,1,66.30000305,254.9799957,Late delivery,1,43,Camping & Hiking,Caguas,Puerto Rico,238,Corporate,PR,7,Fan Shop,Pacific Asia,Shenyang,China,238,1/26/2016 22:13,26781,957,45.0,0.150000006,67099,299.980011,0.25999999,1,299.980011,254.9799957,66.30000305,Eastern Asia,Liaoning,CLOSED,957,43,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,1/28/2016 22:13,First Class
PAYMENT,3,4,44.63999939,371.980011,Advance shipping,0,45,Fishing,Caguas,Puerto Rico,4929,Consumer,PR,7,Fan Shop,LATAM,León,México,4929,1/27/2017 16:59,51907,1004,28.0,0.07,129699,399.980011,0.119999997,1,399.980011,371.980011,44.63999939,Central America,Guanajuato,PENDING_PAYMENT,1004,45,,http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,1/30/2017 16:59,Standard Class
PAYMENT,6,4,85.54000092,181.9900055,Late delivery,1,48,Water Sports,Fremont,EE. UU.,2712,Consumer,CA,7,Fan Shop,LATAM,Mérida,México,2712,1/28/2015 12:02,1885,1073,18.0,0.090000004,4721,199.9900055,0.469999999,1,199.9900055,181.9900055,85.54000092,Central America,Yucatán,PENDING_PAYMENT,1073,48,,http://images.acmesports.sports/Pelican+Sunstream+100+Kayak,Pelican Sunstream 100 Kayak,199.9900055,0,2/3/2015 12:02,Standard Class
CASH,2,2,2.660000086,106.5899963,Shipping on time,0,18,Men's Footwear,Norfolk,EE. UU.,37,Consumer,VA,4,Apparel,LATAM,Itapevi,Brasil,37,1/28/2015 15:54,1896,403,23.39999962,0.180000007,4739,129.9900055,0.029999999,1,129.9900055,106.5899963,2.660000086,South America,São Paulo,CLOSED,403,18,,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,1/30/2015 15:54,Second Class
TRANSFER,2,4,48.13999939,165.9799957,Advance shipping,0,9,Cardio Equipment,Chicago,EE. UU.,5922,Home Office,IL,3,Footwear,LATAM,Managua,Nicaragua,5922,1/29/2015 21:40,1981,191,34.0,0.170000002,4953,99.98999786,0.289999992,2,199.9799957,165.9799957,48.13999939,Central America,Managua,PENDING,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,1/31/2015 21:40,Standard Class
PAYMENT,6,4,19.20999908,169.9900055,Late delivery,1,48,Water Sports,Caguas,Puerto Rico,1560,Consumer,PR,7,Fan Shop,Europe,Salzburgo,Austria,1560,1/3/2017 1:57,50220,1073,30.0,0.150000006,125521,199.9900055,0.109999999,1,199.9900055,169.9900055,19.20999908,Western Europe,Salzburgo,PENDING_PAYMENT,1073,48,,http://images.acmesports.sports/Pelican+Sunstream+100+Kayak,Pelican Sunstream 100 Kayak,199.9900055,0,1/9/2017 1:57,Standard Class
TRANSFER,2,4,53.75999832,114.3899994,Advance shipping,0,18,Men's Footwear,Caguas,Puerto Rico,9248,Consumer,PR,4,Apparel,Pacific Asia,Taizz,Yemen,9248,1/3/2017 4:03,50226,403,15.60000038,0.119999997,125534,129.9900055,0.469999999,1,129.9900055,114.3899994,53.75999832,West Asia,Taiz,PENDING,403,18,,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,1/5/2017 4:03,Standard Class
CASH,2,4,84.98000336,293.0400085,Advance shipping,0,69,Health and Beauty,Ontario,EE. UU.,18774,Corporate,CA,12,Health and Beauty ,Pacific Asia,Shanghái,China,18774,1/3/2018 0:54,75221,1356,0.0,0.0,178536,293.0400085,0.289999992,1,293.0400085,293.0400085,84.98000336,Eastern Asia,Shanghái,CLOSED,1356,69,,http://images.acmesports.sports/First+aid+kit,First aid kit,293.0400085,0,1/5/2018 0:54,Standard Class
DEBIT,0,0,16.19000053,161.8699951,Shipping on time,0,76,Women's Clothing,Pomona,EE. UU.,20645,Consumer,CA,4,Apparel,Pacific Asia,Foshan,China,20645,1/30/2018 8:24,77092,1363,53.95999908,0.25,180407,215.8200073,0.100000001,1,215.8200073,161.8699951,16.19000053,Eastern Asia,Guangdong,COMPLETE,1363,76,,http://images.acmesports.sports/Summer+dresses,Summer dresses,215.8200073,0,1/30/2018 20:24,Same Day
PAYMENT,2,2,178.5399933,371.9599915,Shipping on time,0,9,Cardio Equipment,Corona,EE. UU.,5305,Home Office,CA,3,Footwear,LATAM,São Paulo,Brasil,5305,1/31/2015 17:28,2106,191,28.0,0.07,5268,99.98999786,0.479999989,4,399.9599915,371.9599915,178.5399933,South America,São Paulo,PENDING_PAYMENT,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,2/2/2015 17:28,Second Class
TRANSFER,1,0,29.87999916,359.980011,Late delivery,1,45,Fishing,Chicago,EE. UU.,11983,Consumer,IL,7,Fan Shop,Pacific Asia,Rizhao,China,11983,1/31/2016 21:20,27121,1004,40.0,0.100000001,67948,399.980011,0.079999998,1,399.980011,359.980011,29.87999916,Eastern Asia,Shandong,PENDING,1004,45,,http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,2/1/2016 9:20,Same Day
TRANSFER,5,4,68.40000153,142.5,Late delivery,1,24,Women's Apparel,Jackson Heights,EE. UU.,618,Corporate,NY,5,Golf,LATAM,Masaya,Nicaragua,618,1/4/2015 7:52,229,502,7.5,0.050000001,564,50.0,0.479999989,3,150.0,142.5,68.40000153,Central America,Masaya,PENDING,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,1/9/2015 7:52,Standard Class
PAYMENT,2,4,49.58000183,170.9700012,Advance shipping,0,17,Cleats,Caguas,Puerto Rico,2381,Home Office,PR,4,Apparel,Pacific Asia,Matsubara,Japón,2381,1/5/2016 12:58,25316,365,9.0,0.050000001,63418,59.99000168,0.289999992,3,179.9700012,170.9700012,49.58000183,Eastern Asia,Oita,PENDING_PAYMENT,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,1/7/2016 12:58,Standard Class
PAYMENT,5,2,9.170000076,56.27999878,Late delivery,1,41,Trade-In,Caguas,Puerto Rico,6020,Consumer,PR,6,Outdoors,LATAM,Lima,Perú,6020,1/6/2015 5:25,359,924,7.679999828,0.119999997,894,15.98999977,0.159999996,4,63.95999908,56.27999878,9.170000076,South America,Lima (ciudad),PENDING_PAYMENT,924,41,,http://images.acmesports.sports/Glove+It+Urban+Brick+Golf+Towel,Glove It Urban Brick Golf Towel,15.98999977,0,1/11/2015 5:25,Second Class
TRANSFER,6,2,-295.1900024,163.9900055,Late delivery,1,48,Water Sports,Caguas,Puerto Rico,8409,Corporate,PR,7,Fan Shop,Pacific Asia,Manila,Filipinas,8409,1/6/2016 23:39,25415,1073,36.0,0.180000007,63661,199.9900055,-1.799999952,1,199.9900055,163.9900055,-295.1900024,Southeast Asia,Capital Nacional,PROCESSING,1073,48,,http://images.acmesports.sports/Pelican+Sunstream+100+Kayak,Pelican Sunstream 100 Kayak,199.9900055,0,1/12/2016 23:39,Second Class
TRANSFER,2,1,56.8199997,120.8899994,Shipping canceled,0,18,Men's Footwear,Gardena,EE. UU.,7128,Consumer,CA,4,Apparel,Pacific Asia,Taizz,Yemen,7128,1/6/2017 22:26,50484,403,9.100000381,0.07,126140,129.9900055,0.469999999,1,129.9900055,120.8899994,56.8199997,West Asia,Taiz,SUSPECTED_FRAUD,403,18,,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,1/8/2017 22:26,First Class
PAYMENT,3,4,25.54000092,255.4400024,Advance shipping,0,71,Music,Washington,EE. UU.,19000,Consumer,DC,9,Discs Shop,Pacific Asia,Nom Pen,Camboya,19000,1/6/2018 8:05,75447,1358,5.210000038,0.02,178762,260.6499939,0.100000001,1,260.6499939,255.4400024,25.54000092,Southeast Asia,Nom Pen,PENDING_PAYMENT,1358,71,,http://images.acmesports.sports/Rock+music,Rock music,260.6499939,0,1/9/2018 8:05,Standard Class
